1,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
43008,5cadcf1e-9d40-4b17-a8aa-3ff593b9a453,,,Nigeria,NGA,Osun,Boripe,0,Oke Baale 8,0,St Anthony Catholic Hospital,GRID3_EHEALTH,Public,Unknown,Primary,Unknown,7.89747,4.70407,GRID3_EHEALTH,11/11/2024,4.70407,7.89747
43009,849a964a-82ae-454f-9125-b4f1e04ed3c4,,,Nigeria,NGA,Osun,Egbedore,0,Ido-Osun,0,Adeleke University Health Center,GRID3_EHEALTH,Private,Unknown,Primary,Unknown,7.758953333,4.462191667,GRID3_EHEALTH,11/11/2024,4.462191667,7.758953333
43010,5001ac57-64c9-4254-a7b7-70dabdb502da,,,Nigeria,NGA,Benue,Ushongo,0,Lessel Township,0,Tyson Clinic,GRID3_EHEALTH,Unknown,Unknown,Primary,Unknown,7.125672783,9.022409723,GRID3_EHEALTH,11/11/2024,9.022409723,7.125672783
43011,2103b87a-e1e0-4c2d-8c81-00b094d1cecb,,,Nigeria,NGA,Osun,Ayedaade,0,Obalufon,0,Wonsebolatan Maternity Home,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Clinic,7.31977,4.36866,GRID3_EHEALTH,11/11/2024,4.36866,7.31977
43012,4eb75bb0-22c3-44a4-b52a-6b751a7a5670,,,Nigeria,NGA,Osun,Odo Otin,0,Baale,0,Ojuolape Medical Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Clinic,8.02076,4.67738,GRID3_EHEALTH,11/11/2024,4.67738,8.02076
43013,a80673e2-6bd0-4e4e-a0f5-264083e12f61,,,Nigeria,NGA,Benue,Makurdi,0,Central South Mission,0,St Christophers Wannu Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.73322,8.52729,GRID3_EHEALTH,11/11/2024,8.52729,7.73322
43014,4422c9cb-cdc3-475f-9d85-8ec5b503619d,,,Nigeria,NGA,Benue,Ushongo,0,Mbagwaza,0,Koinjo Nkst Primary Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,6.99566,9.17506,GRID3_EHEALTH,11/11/2024,9.17506,6.99566
43015,bfb434e7-919a-466a-be62-3b70bcb0b79d,,,Nigeria,NGA,Benue,Okpokwu,0,Amejo,0,Twins Clinic and Maternity,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Clinic,7.15444,7.7944,GRID3_EHEALTH,11/11/2024,7.7944,7.15444
43016,25149cb1-2203-4471-8316-89ec06401494,,,Nigeria,NGA,Benue,Okpokwu,0,Amejo,0,Midland Hospital and Maternity,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Clinic,7.15418,7.79307,GRID3_EHEALTH,11/11/2024,7.79307,7.15418
43017,b32ac0cc-15f8-47eb-81ca-413073e196ba,,,Nigeria,NGA,Benue,Makurdi,0,North Bank 1,0,Alheri Hospital,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.75372,8.54821,GRID3_EHEALTH,11/11/2024,8.54821,7.75372
43018,cbbd9fa2-6c55-468a-b293-0cca82ec09f0,,,Nigeria,NGA,Benue,Okpokwu,0,Amejo,0,Benpoly Clinic,GRID3_EHEALTH,Public,Unknown,Primary,Unknown,7.15521,7.8193,GRID3_EHEALTH,11/11/2024,7.8193,7.15521
43019,d4bc49f6-4d8b-49a1-bf22-01324f1a31cf,,,Nigeria,NGA,Benue,Ushongo,0,Mbagwaza,0,Mbakaan Clinic and Maternity,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Clinic,6.95276,9.14607,GRID3_EHEALTH,11/11/2024,9.14607,6.95276
43020,59182205-b768-4375-95de-adcbc648c97d,,,Nigeria,NGA,Benue,Ushongo,0,Ikov,0,Nyamkume Local Government Health Clinic,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.134700839,9.019378491,GRID3_EHEALTH,11/11/2024,9.019378491,7.134700839
43021,6f9947f8-d8c3-4b51-a104-e689469dd1a4,,,Nigeria,NGA,Benue,Ohimini,0,Ochobo,0,Nphc,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.18227,7.9894,GRID3_EHEALTH,11/11/2024,7.9894,7.18227
43022,76195c76-0da0-4aae-8bb2-5cbf327f1014,,,Nigeria,NGA,Osun,Boripe,0,Oke Ogi / Ada 2,0,Oke Baale Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,7.89423632,4.706426166,GRID3_EHEALTH,11/11/2024,4.706426166,7.89423632
43023,c4281bb6-4a0f-46d1-aa67-908eafcff019,,,Nigeria,NGA,Osun,Isokan,0,Oosaadifa,0,Davidson Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.274442599,4.195165808,GRID3_EHEALTH,11/11/2024,4.195165808,7.274442599
43024,37c0bc6f-66dc-4d48-b667-890938b97ebe,,,Nigeria,NGA,Osun,Ayedaade,0,Obalufon,0,Alaha Primary Health Care,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.277644034,4.37343399,GRID3_EHEALTH,11/11/2024,4.37343399,7.277644034
43025,979fdab5-0862-4161-86fb-c0a55067a381,,,Nigeria,NGA,Osun,Ifedayo,0,Aworo,0,Oyi Aduni Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.971438697,4.967940118,GRID3_EHEALTH,11/11/2024,4.967940118,7.971438697
43026,48fe24fc-54df-4c48-b87d-e02e424e6fc8,,,Nigeria,NGA,Osun,Boripe,0,Isale Asa 9,0,Oke Aree Primary Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.940357835,4.73179857,GRID3_EHEALTH,11/11/2024,4.73179857,7.940357835
43027,4ee7322a-3491-40ab-abd4-64451224dfbf,,,Nigeria,NGA,Osun,Odo Otin,0,Ashi / Asaba,0,Oyan Primary Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,8.042986135,4.773548725,GRID3_EHEALTH,11/11/2024,4.773548725,8.042986135
43028,1d6d59ec-5191-45f9-b29c-7b37118f600a,,,Nigeria,NGA,Osun,Egbedore,0,Awo,0,Oniso Primary Health Care,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.816878743,4.397009313,GRID3_EHEALTH,11/11/2024,4.397009313,7.816878743
43029,b76e0d24-c50a-4c5a-ac94-71f1012a6969,,,Nigeria,NGA,Osun,Boluwaduro,0,Igbajo 3 6,0,Oke Irun Algon Primary Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.91336,4.817218333,GRID3_EHEALTH,11/11/2024,4.817218333,7.91336
43030,ce67e78a-2378-481a-8835-a0e9116099a2,,,Nigeria,NGA,Osun,Ayedaade,0,Olufi,0,His Bloob Health Care,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.53877,4.38835,GRID3_EHEALTH,11/11/2024,4.38835,7.53877
43031,51d17092-ab00-4b17-bd64-c9289f5f2427,,,Nigeria,NGA,Osun,Egbedore,0,Awo,0,Ojo Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,7.80851,4.42658,GRID3_EHEALTH,11/11/2024,4.42658,7.80851
43032,f2701a45-40b1-46e4-83e6-09d46dc9fcde,,,Nigeria,NGA,Osun,Egbedore,0,Awo,0,Ilawe Health Clinic,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.84532,4.39454,GRID3_EHEALTH,11/11/2024,4.39454,7.84532
43033,90640c30-85c2-40a1-a04b-e8b054b25302,,,Nigeria,NGA,Osun,Ayedaade,0,Obalufon,0,Omu Olounde Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,7.31992,4.34478,GRID3_EHEALTH,11/11/2024,4.34478,7.31992
43034,951e1ab0-dc5f-4f82-997f-8aec11fea534,,,Nigeria,NGA,Osun,Ifedayo,0,Balogun,0,Oyiayegu Primary Health Care Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.92146,4.94331,GRID3_EHEALTH,11/11/2024,4.94331,7.92146
43035,d5c7258d-d898-4552-836b-6a016c77e119,,,Nigeria,NGA,Osun,Boripe,0,Isale Offa 2,0,Orisun Iye Maternity Centre,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Clinic,7.893309451,4.67825518,GRID3_EHEALTH,11/11/2024,4.67825518,7.893309451
43036,ea31c17a-b538-4134-aa05-b2398e4216c5,,,Nigeria,NGA,Osun,Osogbo,0,Ataoja 2 / B,0,Olomola Osogbo Hospital,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Center,7.743181883,4.54736357,GRID3_EHEALTH,11/11/2024,4.54736357,7.743181883
43037,5e3abad2-e537-4aef-9351-bca5c7f78a57,,,Nigeria,NGA,Kaduna,Sabon Gari,0,Hanwa,0,Women Health Institute,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,11.11924114,7.708446058,GRID3_EHEALTH,11/11/2024,7.708446058,11.11924114
43038,415fe7c7-2ef2-45d9-9dc0-05212f7438fd,,,Nigeria,NGA,Osun,Egbedore,0,Awo,0,Alaafia Lagba Maternity Home,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Clinic,7.814013979,4.424190196,GRID3_EHEALTH,11/11/2024,4.424190196,7.814013979
43039,b45c831f-0cef-43d6-9e8d-5ad22e681e88,,,Nigeria,NGA,Osun,Boripe,0,Oke Baale 8,0,Ona Ara Maternity Home,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Clinic,7.901169447,4.710462019,GRID3_EHEALTH,11/11/2024,4.710462019,7.901169447
